Филе куриное 2*7.5	Бразилия	15	163
Оковалок	США	инд	228
Лопаточная часть говяжья 	Бразилия	инд	201
Печень гов	Литва	инд	86
Подбедерок	США	инд	214
Карбонад 	Дания	инд	215
